State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,43516
Andhra Pradesh,2023,20024016
Arunachal Pradesh,2023,162152
Assam,2023,2780306
Bihar,2023,13700876
Chandigarh,2023,523127
Chhattisgarh,2023,4427728
Daman and Diu,2023,333334
Delhi,2023,12978387
Goa,2023,563262
Gujarat,2023,16268096
Haryana,2023,11108055
Himachal Pradesh,2023,1476649
Jammu and Kashmir,2023,1217126
Jharkhand,2023,5562672
Karnataka,2023,23436879
Kerala,2023,4955695
Ladakh,2023,63334
Lakshadweep,2023,3261
Madhya Pradesh,2023,15670016
Maharashtra,2023,38146000
Manipur,2023,220504
Meghalaya,2023,132046
Mizoram,2023,51882
Nagaland,2023,112597
Odisha,2023,10199425
Puducherry,2023,305938
Punjab,2023,5338195
Rajasthan,2023,18905357
Sikkim,2023,134323
Tamil Nadu,2023,14200845
Telangana,2023,19243855
Tripura,2023,408665
Uttar Pradesh,2023,29575251
Uttarakhand,2023,2954900
West Bengal,2023,17569602
